"document index";"sentence index";"sentence text";"CONLL annotation";"entity error";"DE-A";"DE-BS";"DE-WT";"SL-C";"SL-S";"DL-CR";"DL-S";"G-A";"G-HC";"G-I"
0;0;"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .";"JAPAN:LOC:2-3 CHINA:PER:7-8";"CHINA:7-8";"CHINA:LOC:7-8";;;1;;1;;;;
7;6;"Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .";"Blinker:PER:0-1 Udinese:ORG:22-23";"Engllsh:15-16";;;1;1;;;;;1;
18;3;"Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .";"Tasmania:LOC:0-1 David Boon:PER:5-7 Shaun Young:PER:11-13 Michael DiVenuto:PER:17-19 Victoria:ORG:22-23";"Tasmania:0-1";"Tasmania:ORG:0-1";;;1;;;;;;
19;5;"West Indies were 53 for two in 15 overs when rain stopped play at the Melbourne Cricket Ground after captain Courtney Walsh won the toss and elected to bat .";"West Indies:LOC:0-2 Melbourne Cricket Ground:LOC:15-18 Courtney Walsh:PER:20-22";"Melbourne Cricket Ground:15-18";;;;1;;;;;1;
20;2;"West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .";"West Indies:LOC:0-2 Courtney Walsh:PER:3-5 Australia:LOC:24-25 Melbourne:LOC:27-28";"Melbourne:27-28";"Melbourne Cricket Ground:LOC:27-30";;;1;;;;;;
22;0;"SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP .";;"ARAB:2-3";"ARAB CONTRACTORS:ORG:2-4";;;;;1;;;;
22;2;"Result of the second leg of the African Cup Winners ' Cup final at the National stadium on Friday : Arab Contractors ( Egypt ) 4 Sodigraf ( Zaire ) 0 ( halftime 2-0 )";"National stadium:LOC:15-17 Arab Contractors:ORG:20-22 Egypt:LOC:23-24 Sodigraf:ORG:26-27 Zaire:LOC:28-29";"National stadium:15-17";;;1;1;;;;;1;
22;5;"Contractors won 4-0 on aggregate .";;"Contractors:0-1";"Contractors:ORG:0-1";;;;;1;;;;
23;14;"ATLANTIC DIVISION";"ATLANTIC:LOC:0-1";"ATLANTIC:0-1";;;;1;;;1;1;;1
23;32;"PACIFIC DIVISION";"PACIFIC:LOC:0-1";"PACIFIC:0-1";;;;;;;1;1;;1
25;5;"Indianapolis closes with games at Kansas City and Cincinnati .";"Indianapolis:LOC:0-1 Kansas City:LOC:5-7 Cincinnati:LOC:8-9";"Indianapolis:0-1";"Indianapolis:ORG:0-1";;;1;;1;;1;;
25;7;"Philadelphia , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona .";"Philadelphia:LOC:0-1 Dallas Cowboys:ORG:11-13 Washington Redskins:ORG:14-16 New York Jets:ORG:23-26 Arizona:ORG:29-30";"Philadelphia:0-1";"Philadelphia:ORG:0-1";;;1;;;;1;;
25;14;"A 39-yard interference penalty against Philadelphia 's Troy Vincent set up Faulk 's first score around left end that capped an 80-yard march 5:17 into the game and the rout was on .";"Philadelphia:LOC:5-6 Troy Vincent:PER:7-9 Faulk:PER:11-12";"Philadelphia:5-6";"Philadelphia:ORG:5-6";;;1;;1;;1;;
27;14;"W L T PF PA";"PA:ORG:4-5";"PA:4-5";"PA:0:4-5";;;;;1;1;1;;
27;22;"X-DENVER 12 1 0 351 199";;"X-DENVER:0-1";;1;1;;;;1;;1;
27;37;"Y-GREEN BAY 10 3 0 346 191";;"Y-GREEN BAY:0-2";;1;1;;;1;1;;1;
28;0;"NFL AMERICAN FOOTBALL-THURSDAY 'S RESULT .";"NFL:ORG:0-1";"NFL:0-1";;;;1;;1;;;;
28;2;"Result of National Football";"National:ORG:2-3 Football:LOC:3-4";"National:2-3";"National Football:ORG:2-4";1;;1;;1;;1;;
31;16;"1. FC Cologne 16 8 2 6 31 27 26";"1. FC Cologne:ORG:0-3";"1. FC Cologne:0-3";"FC Cologne:ORG:1-3";;;;;;1;;;
33;4;"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( Konterman 45 ,";"RKC Waalwijk:ORG:0-2 Willem II Tilburg:ORG:7-10 Konterman:PER:12-13";"Starbuck:4-5";"Starbuck:PER:4-5";1;;;;;1;1;;
36;9;"Karlsruhe 3 ( Reich 29th , Carl 44th , Dundee 69th ) Freiburg 0 .";"Karlsruhe:LOC:0-1 Reich:PER:3-4 Carl:PER:6-7 Dundee:ORG:9-10 Freiburg:LOC:12-13";"Karlsruhe:0-1";"Karlsruhe:ORG:0-1";;;;1;;1;1;;
36;9;"Karlsruhe 3 ( Reich 29th , Carl 44th , Dundee 69th ) Freiburg 0 .";"Karlsruhe:LOC:0-1 Reich:PER:3-4 Carl:PER:6-7 Dundee:ORG:9-10 Freiburg:LOC:12-13";"Dundee:9-10";"Dundee:PER:9-10";;;;;;1;1;;
36;9;"Karlsruhe 3 ( Reich 29th , Carl 44th , Dundee 69th ) Freiburg 0 .";"Karlsruhe:LOC:0-1 Reich:PER:3-4 Carl:PER:6-7 Dundee:ORG:9-10 Freiburg:LOC:12-13";"Freiburg:12-13";"Freiburg:ORG:12-13";;;;;;1;1;;
39;45;"JosepGuardiola";"JosepGuardiola:PER:0-1";"JosepGuardiola:0-1";;;1;1;;;;;1;
39;51;"AbelardoFernandez";"AbelardoFernandez:PER:0-1";"AbelardoFernandez:0-1";;;1;1;;;;;1;
41;21;"Sporting Gijon 15 4 4 7 15 22 16";"Sporting:ORG:0-1";"Sporting:0-1";"Sporting Gijon:ORG:0-2";;;;;;1;1;;
49;0;"GUNMEN KILL FOUR IN S.AFRICA 'S ZULU PROVINCE .";;"S.AFRICA:4-5";"S.AFRICA:LOC:4-5";;1;1;;1;;;1;
50;3;"Czech President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State .";"Czech:LOC:0-1 Vaclav Havel:PER:2-4 Madeleine Albright:PER:10-12 Czech:LOC:16-17 United States:LOC:21-23";"Czech:0-1";;;;1;;1;;;;1
50;3;"Czech President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State .";"Czech:LOC:0-1 Vaclav Havel:PER:2-4 Madeleine Albright:PER:10-12 Czech:LOC:16-17 United States:LOC:21-23";"Czech:16-17";;;;1;;1;;;;1
54;21;""" You will not win the war of the Polish beer market with imported international brands , "" van Boxmeer said , adding that Heineken would remain an up-market import in Poland .";"Boxmeer:PER:19-20 Heineken:ORG:24-25 Poland:LOC:31-32";"Boxmeer:19-20";"van Boxmeer:PER:18-20";;1;;;1;;;1;
72;2;"MIDEAST / RED SEA -";"RED SEA:LOC:2-4";"MIDEAST:0-1";"MIDEAST:LOC:0-1";;;;;;;;;1
72;4;"MEDITERRANEAN -";;"MEDITERRANEAN:0-1";"MEDITERRANEAN:LOC:0-1";;;;;;1;;;1
75;0;"Wall St speculates about Santa Fe savior .";"Wall St:LOC:0-2 Santa Fe:LOC:4-6";"Santa Fe:4-6";"Santa Fe:ORG:4-6";;;;;1;;1;;
75;23;"Newmont proposed to Santa Fe a stock-swap merger at a ratio of 0.33 Newmont shares for each Santa Fe shares .";"Newmont:ORG:0-1 Santa Fe:LOC:3-5 Newmont:ORG:13-14 Santa Fe:ORG:17-19";"Santa Fe:3-5";"Santa Fe:ORG:3-5";;;1;;1;;1;;
78;26;"Baril said that apart from the group of 150,000 , U.S. and British reconnaissance plans had tracked two much smaller groups of refugees -- one of up to 1,000 north of the town of Masisi and one of up to 8,000 on the road from Bukavu west to Kindu .";"Baril:PER:0-1 U.S.:LOC:10-11 Bukavu:LOC:45-46 Kindu:LOC:48-49";"Masisi:34-35";"Masisi:LOC:34-35";;;1;;;;1;;
82;27;"Mutineers have vowed to disarm all civilians and to chase out the foreign forces knwon as Codos .";;"Codos:16-17";"Codos:ORG:16-17";;;;;;;1;1;
92;4;"Gaulieder , formerly a member of Prime Minister Vladimir Meciar 's ruling Movement for a Democratic Slovakia , was stripped of his parliamentary mandate on Wednesday after leaving the party last month in protest over what he said was a lack of democracy in the country .";"Gaulieder:PER:0-1 Vladimir Meciar:PER:8-10 Movement for a Democratic Slovakia:ORG:12-17";"Movement for a Democratic Slovakia:12-17";;;;1;;;;;;
94;3;""" The banks are already preparing for the December 10 tax payment , "" said Budapest Bank 's Sandor Tolonics . """;"Budapest:LOC:15-16 Sandor Tolonics:PER:18-20";"Budapest:15-16";"Budapest Bank:ORG:14-16";;;1;;;;;;
95;16;"It 's a sudden plunge that takes its toll , "" said Carlos Ponce , research director at Santander .";"Carlos Ponce:PER:12-14 Santander:LOC:18-19";"Santander:18-19";"Santander:ORG:18-19";;;1;;;;;;
96;4;"The number of plastic surgeries in Brazil has jumped 30 percent to an estimated 150,000 this year since an anti-inflation plan was introduced in July 1994 , Farid Hakme , the president of the Brazilian Plastic Surgery Society ( SBCP ) , said .";"Brazil:LOC:6-7 Farid Hakme:PER:27-29 Brazilian Plastic Surgery Society:ORG:34-38 SBCP:ORG:39-40";"Brazilian Plastic Surgery Society:34-38";;;;1;;1;;;;
100;1;"SANTIAGO 1996-12-05";"SANTIAGO:PER:0-1";"SANTIAGO:0-1";"SANTIAGO:LOC:0-1";;;1;;1;1;1;;
100;2;"Chile and Mexico will start negotiations next year to broaden their free trade agreement to include services and investments , Finance Minister Eduardo Aninat said .";"Chile:LOC:0-1 Mexico:LOC:2-3 Finance:ORG:20-21 Eduardo Aninat:PER:22-24";"Finance:20-21";"Finance:0:20-21";;;1;;;;1;;1
100;8;"Aninat also said he was confident the Chilean Congress would ratify the treaty with Congress quickly .";"Aninat:PER:0-1";"Chilean Congress:7-9";"Chilean Congress:ORG:7-9";;;1;;;;;;
105;4;"Jordan said a small group of developing nations that oppose linking trade talks and labour conditions had pressured World Trade Organisation ( WTO ) officials to prevent Hansenne from taking the platform to urge such links .";"Jordan:PER:0-1 World Trade Organisation:ORG:18-21 WTO:ORG:22-23";"Hansenne:27-28";"Hansenne:PER:27-28";;;1;;1;;;;
108;1;"Haitham Haddadin";"Haitham Haddadin:ORG:0-2";"Haitham Haddadin:0-2";"Haitham Haddadin:PER:0-2";;;;;;1;;;
112;2;"Fourteen years after he bludgeoned and shot a man whose trailer home he robbed in 1982 , John Mills Jr .";"John Mills:PER:17-19";"John Mills:17-19";"John Mills Jr:PER:17-20";;;1;;1;;;;1
113;2;"Mana 50,000 tonnes soybeans USG / China 10-15/12 $ 23.50 10,000 / 4,000 GeePee .";"China:LOC:6-7";"GeePee:13-14";"GeePee:ORG:13-14";;;;;;;;1;
113;2;"Mana 50,000 tonnes soybeans USG / China 10-15/12 $ 23.50 10,000 / 4,000 GeePee .";"China:LOC:6-7";"USG:4-5";"USG:ORG:4-5";;;;;;;;1;
115;4;"In sentencing Darrel Voeks , 38 , to a 10-year prison term on Thursday , Outagmie County Circuit Court Judge Dennis Luebke said he was "" a thief by habit . """;"Darrel Voeks:PER:2-4 Outagmie County:LOC:15-17 Dennis Luebke:PER:20-22";"Outagmie County:15-17";"Outagmie County Circuit Court:ORG:15-19";;;1;;;;;;
115;6;"You are narcissitic , "" Luebke said at the sentencing , adding Voeks should pay restitution of more than $ 100,000 to the farming family who had hired him .";"Voeks:PER:12-13";"Luebke:5-6";"Luebke:PER:5-6";1;;;;1;;;;
121;0;"Action Performance to acquire firms .";;"Action Performance:0-2";"Action Performance:ORG:0-2";;;1;;1;;;;
121;3;"Action Performance Cos Inc said Friday it has agreed to acquire Motorsport Traditions Ltd and Creative Marketing & Promotions Inc for about $ 13 million in cash and stock .";"Action Performance Cos Inc:ORG:0-4 Motorsport Traditions Ltd:ORG:11-14 Creative Marketing & Promotions Inc:ORG:15-20";"Creative Marketing & Promotions Inc:15-20";;;;1;;;;;;
122;3;"The Humane Society of the United States estimates that between 500,000 and one million bites are delivered by dogs each year , more than half of which are suffered by children .";"United States:LOC:5-7";"Humane Society of the United States:1-7";"Humane Society of the United States:ORG:1-7";;;1;;;;;1;
127;5;"Fini told state radio RAI he met Mussolini thanks to the good offices of Giuseppe Tatarella , AN 's leader in the Chamber of Deputies ( lower house ) , and had overcome their differences .";"Fini:PER:0-1 RAI:LOC:4-5 Mussolini:PER:7-8 Giuseppe Tatarella:PER:14-16 AN:ORG:17-18 Chamber of Deputies:ORG:22-25";"RAI:4-5";"RAI:ORG:4-5";;;1;;;;1;;
127;8;"Mussolini , who sits in the Chamber , told La Stampa newspaper last month after quitting AN 's parliamentary party that she was considering joining the neo-fascist Social Movement ( MS-Fiamma ) formed by some of the Duce 's World War Two followers .";"Mussolini:PER:0-1 Chamber:ORG:6-7 La Stampa:ORG:9-11 AN:ORG:16-17 Social Movement:ORG:27-29 MS-Fiamma:ORG:30-31";"Duce:37-38";"Duce:PER:37-38";;;1;;;;;;
146;1;"LOS ANGELES 1996-12-05";"LOS ANGELES:ORG:0-2";"LOS ANGELES:0-2";"LOS ANGELES:LOC:0-2";;;1;;1;1;;;
149;13;"But with the treaty , this kind of fact will be owned and subject to licensing , "" said James Love , a consumer lobbyist heading the Washington-based Consumer Project on Technology .";"James Love:PER:19-21 Consumer Project:PER:28-30";"Consumer Project:28-30";"Consumer Project:O:28-30";;;1;;;;;;
152;1;"MANTUA , Italy 1996-12-06";"Italy:LOC:2-3";"MANTUA:0-1";"MANTUA:LOC:0-1";;;1;;1;1;1;;
152;3;"Addressing a convention on Italian unity in Mantua , where the party has set up its own "" parliament of the north "" , Scalfaro made a direct appeal to what he called "" my friends from the League "" to work instead for federal reform .";"Scalfaro:PER:24-25 League:ORG:38-39";"Mantua:7-8";"Mantua:LOC:7-8";;;1;;1;;1;;
152;5;"Let 's march together , "" Scalfaro , a northerner himself , said .";"Let:LOC:0-1 Scalfaro:PER:6-7";"Let:0-1";"Let:O:0-1";;;1;;;;1;;
152;9;"He was jeered and whistled at by a small group of League supporters when he arrived for a visit marked by heavy security .";"League:LOC:11-12";"League:11-12";"League:ORG:11-12";;;;;1;;1;;
153;2;"A Reuter consensus survey sees medical equipment group Radiometer reporting largely unchanged earnings when it publishes first half 19996/97 results next Wednesday .";"Reuter:ORG:1-2 Radiometer:ORG:8-9 Wednesday:ORG:21-22";"Wednesday:21-22";"Wednesday:O:21-22";;;1;;;;;;
155;3;"Police seized dozens of kilos of heroin with a street value of hundreds of millions of Belgian francs , a public prosecutor 's office spokesman in the port city of Antwerp said .";"Antwerp:ORG:30-31";"Antwerp:30-31";"Antwerp:LOC:30-31";;;1;;1;;1;;
155;7;"She and the Turkish man smuggled heroin from Turkey to Antwerp from where it was taken to Spain , France and Germany by others , the spokesman said .";"Turkey:LOC:8-9 Antwerp:ORG:10-11 Spain:LOC:17-18 France:LOC:19-20 Germany:LOC:21-22";"Antwerp:10-11";"Antwerp:LOC:10-11";;;1;;1;;;;
158;2;"Muenchener Rueckversicherungs AG , the world 's largest reinsurer , said on Friday it expected to switch its shares to a lower par value by September 1997 at the earliest .";"Rueckversicherungs AG:ORG:1-3";"Rueckversicherungs AG:1-3";"Muenchener Rueckversicherungs AG:ORG:0-3";;;1;;1;;;;
161;2;"The John Lewis Partnership said its UK department store sales rose 4.5 percent in the week to November 30 compared with the same week a year earlier .";"John Lewis:PER:1-3 UK:LOC:6-7";"John Lewis:1-3";"John Lewis Partnership:ORG:1-4";;;1;;1;;;1;
164;8;"A spokesman for Foreign Affairs Minister Alexander Downer said the appointment of a new inquiry head , administrative law expert Pamela O'Neil , showed the government 's commitment to pursue the matter .";"Foreign Affairs:ORG:3-5 Alexander Downer:PER:6-8 Pamela O'Neil:PER:20-22";"Foreign Affairs:3-5";"Foreign Affairs:0:3-5";;;1;;;;;;1
166;0;"NZ 's Bolger says Nats to meet NZ First on Sunday .";"NZ:LOC:0-1 Bolger:PER:2-3 Nats:PER:4-5 NZ:LOC:7-8";"Nats:4-5";"Nats:ORG:4-5";;;;;;;1;;
166;0;"NZ 's Bolger says Nats to meet NZ First on Sunday .";"NZ:LOC:0-1 Bolger:PER:2-3 Nats:PER:4-5 NZ:LOC:7-8";"NZ:7-8";"NZ First:ORG:7-9";;;1;;1;;1;;
167;0;"NZ 's Peters says Nat , Lab talks at similar stage .";"NZ:LOC:0-1 Peters:PER:2-3 Nat:PER:4-5 Lab:PER:6-7";"Lab:6-7";"Lab:ORG:6-7";;;;;1;;1;;
167;0;"NZ 's Peters says Nat , Lab talks at similar stage .";"NZ:LOC:0-1 Peters:PER:2-3 Nat:PER:4-5 Lab:PER:6-7";"Nat:4-5";"Nat:ORG:4-5";;;;;1;;1;;
168;3;""" Halverson announced that he had received today from Mr John Vance Langmore , a letter resigning his place as member of the House of Representatives for the electoral division of Fraser in the Australian Capital Territory , "" his office said in a statement .";"Halverson:PER:1-2 John Vance Langmore:PER:10-13 House of Representatives:ORG:23-26 Fraser:PER:31-32";"Australian Capital Territory:34-37";"Australian Capital Territory:LOC:34-37";;;1;;;;;;
168;7;"Langmore , a persistent campaigner for interventionist economic policy , has been Labor member for Fraser since 1984 .";"Langmore:PER:0-1 Fraser:PER:15-16";"Labor:12-13";"Labor:ORG:12-13";;;1;;;;1;;
170;16;"-- Bangkok newsroom ( 662 ) 652-0642";;"Bangkok:1-2";"Bangkok:LOC:1-2";;;1;;1;1;;;1
176;1;"K.T. Arasu";"K.T. Arasu:LOC:0-2";"K.T. Arasu:0-2";"K.T. Arasu:PER:0-2";;;;;;1;;;
176;18;"The Ministry 's Umar said on Thursday that both Bre-X and Barrick had responded positively to a government letter recommending a 25-75 split in the Busang gold property .";"Umar:PER:3-4 Bre-X:ORG:9-10 Barrick:ORG:11-12 Busang:ORG:25-26";"Busang:25-26";"Busang:LOC:25-26";;;1;;1;;;;
176;21;"He had said earlier that if the two companies failed to reach a partnership agreement , the government would explore other ways to expedite development of the Busang find .";"Busang:ORG:27-28";"Busang:27-28";"Busang:LOC:27-28";;;1;;1;;;;
176;22;"Bre-X has a partnership deal with PT Panutan Duta of the Panutan Group run by President Suharto 's eldest son , Sigit Harjojudanto , under which Panutan would receive $ 40 million over 40 months plus a 10 percent stake Busang 's richest parts .";"Bre-X:ORG:0-1 PT Panutan Duta:PER:6-9 Panutan Group:ORG:11-13 Suharto:PER:16-17 Sigit Harjojudanto:PER:21-23 Panutan:PER:26-27 Busang:ORG:40-41";"PT Panutan Duta:6-9";"PT Panutan Duta:ORG:6-9";;;1;;;;;;
186;13;"9. Ingeborg Helen Markein ( Norway ) 58";"Ingeborg Helen:PER:1-3 Norway:LOC:5-6";"Ingeborg Helen:1-3";"Ingeborg Helen Markein:PER:1-4";;;;;;1;;;
186;16;"10= Florence Masnada ( France ) 51";"Florence:LOC:1-2 Masnada:PER:2-3 France:LOC:4-5";"Florence:1-2";"Florence Masnada:PER:1-3";;;;;1;1;;;
186;38;"11. Florence Masnada ( France ) 133";"Florence:LOC:1-2 Masnada:PER:2-3 France:LOC:4-5";"Florence:1-2";"Florence Masnada:PER:1-3";;;;;1;1;;;
200;8;"Villa ) , Les Ferdinand ( Newcastle ) , Efan Ekoku ( Wimbledon ) ,";"Villa:ORG:0-1 Les Ferdinand:PER:3-5 Newcastle:ORG:6-7 Efan Ekoku:PER:9-11 Wimbledon:LOC:12-13";"Wimbledon:12-13";"Wimbledon:ORG:12-13";;;;;1;1;1;;
200;10;"7 - Robbie Earle ( Wimbledon ) , Les Ferdinand ( Newcastle )";"Robbie Earle:PER:2-4 Wimbledon:LOC:5-6 Les Ferdinand:PER:8-10 Newcastle:ORG:11-12";"Wimbledon:5-6";"Wimbledon:ORG:5-6";1;;;;1;1;1;;
200;11;"6 - Marcus Gayle ( Wimbledon ) , Gary Speed ( Everton ) , Chris";"Marcus Gayle:PER:2-4 Wimbledon:LOC:5-6 Gary Speed:PER:8-10 Everton:ORG:11-12 Chris:PER:14-15";"Wimbledon:5-6";"Wimbledon:ORG:5-6";;;;;1;1;1;;
203;3;"Dunfermline 2 ( Millar 43 , 46 penalty ) Aberdeen 3 ( Miller 10 , Rowson 55 , Windass 78 ) .";"Dunfermline:ORG:0-1 Millar:PER:3-4 Aberdeen:ORG:9-10 Miller:PER:12-13 Rowson:PER:15-16";"Windass:18-19";"Windass:PER:18-19";;;1;;;1;1;;
205;26;"Sunderland 1 ( Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth";"Sunderland:ORG:0-1 Melville:PER:3-4 Wimbledon:LOC:6-7 Ekoku:PER:9-10 Holdsworth:PER:14-15";"Wimbledon:6-7";"Wimbledon:ORG:6-7";1;;;;;1;1;;
207;35;"Oxford 22 8 6 8 27 21 30";"Oxford:LOC:0-1";"Oxford:0-1";"Oxford:ORG:0-1";;;;;;1;1;;
207;44;"Portsmouth 22 7 5 10 25 29 26";"Portsmouth:LOC:0-1";"Portsmouth:0-1";"Portsmouth:ORG:0-1";;;;;;1;1;;
211;0;"RUGBY UNION - CAMPESE SIGNS OFF WITH TRY IN WALLABY ROMP .";"RUGBY UNION:ORG:0-2 CAMPESE:PER:3-4 WALLABY:LOC:9-10";"WALLABY:9-10";"WALLABY:ORG:9-10";;;;;1;;1;;
215;2;"Former Australia test batsman Dean Jones hit an unbeaten 130 to lead Victoria 's fightback in their Sheffield Shield match against Tasmania on Saturday .";"Australia:LOC:1-2 Dean Jones:PER:4-6 Victoria:LOC:12-13 Tasmania:ORG:21-22";"Victoria:12-13";"Victoria:ORG:12-13";;;1;;1;;1;;
215;3;"Replying to the home side 's first innings 481 for eight declared , Victoria reached 220 for three at close of play on the second day of the four-day match at Hobart 's Bellerive Oval .";"Victoria:LOC:13-14 Hobart:LOC:31-32 Bellerive Oval:LOC:33-35";"Victoria:13-14";"Victoria:ORG:13-14";;;;;1;;1;;
215;9;"Pace bowler Ian Harvey claimed three for 81 for Victoria .";"Pace:PER:0-1 Ian Harvey:PER:2-4 Victoria:LOC:9-10";"Pace:0-1";"Pace:O:0-1";;;1;;;;1;;
218;24;"Ironi Rishon Lezion 12 4 1 7 13 24 13";"Ironi Rishon:ORG:0-2";"Ironi Rishon:0-2";"Ironi Rishon Lezion:ORG:0-3";;;;;1;1;;;
223;8;"Philadelphia 6 DALLAS 3";"Philadelphia:LOC:0-1 DALLAS:LOC:2-3";"Philadelphia:0-1";"Philadelphia:ORG:0-1";;;;;;1;1;;
223;8;"Philadelphia 6 DALLAS 3";"Philadelphia:LOC:0-1 DALLAS:LOC:2-3";"DALLAS:2-3";"DALLAS:ORG:2-3";;;;;;1;1;;
223;9;"St Louis 4 COLORADO 3";"St Louis:LOC:0-2 COLORADO:LOC:3-4";"St Louis:0-2";"St Louis:ORG:0-2";;;;;;1;1;;
223;9;"St Louis 4 COLORADO 3";"St Louis:LOC:0-2 COLORADO:LOC:3-4";"COLORADO:3-4";"COLORADO:ORG:3-4";;;;;;1;1;;
223;10;"EDMONTON 5 Ottawa 2";"EDMONTON:LOC:0-1 Ottawa:LOC:2-3";"EDMONTON:0-1";"EDMONTON:ORG:0-1";;;;;;1;1;;
223;10;"EDMONTON 5 Ottawa 2";"EDMONTON:LOC:0-1 Ottawa:LOC:2-3";"Ottawa:2-3";"Ottawa:ORG:2-3";;;;;;1;1;;
229;22;"Sporting Gijon 15 4 4 7 15 22 16";"Sporting:ORG:0-1";"Sporting:0-1";"Sporting Gijon:ORG:0-2";;;;;;1;;;
